name,m_obs_MeV,sigma_MeV,base_MeV,k_i,p_i,type,m_pred_MeV,residual_MeV,pull
H-1,938.0,0.001,938.0,1.0,1.0,nucleus,937.99999966928,3.307200131530408e-07,0.0003307200131530408
H-2,1875.0,0.001,1875.0,1.122462,1.0,nucleus,1874.9999992579546,7.4204535849276e-07,0.00074204535849276
H-3,2808.0,0.001,2808.0,1.200937,1.0,nucleus,2807.999998811019,1.1889810593856964e-06,0.0011889810593856964
He-4,3727.0,0.001,3727.0,1.259921,1.0,nucleus,3726.9999983443813,1.655618689255789e-06,0.001655618689255789
Li-6,5605.0,0.001,5605.0,1.348007,1.0,nucleus,5604.999997336055,2.663945451786276e-06,0.002663945451786276
Li-7,6533.0,0.001,6533.0,1.375313,1.0,nucleus,6532.999996832097,3.167902832501568e-06,0.003167902832501568
Be-9,8394.0,0.001,8394.0,1.423569,1.0,nucleus,8393.999995786868,4.2131323425564915e-06,0.0042131323425564915
B-10,9321.0,0.001,9321.0,1.445438,1.0,nucleus,9320.999995249716,4.75028355140239e-06,0.00475028355140239
B-11,10012.0,0.001,10012.0,1.465153,1.0,nucleus,10011.999994827966,5.172034434508532e-06,0.005172034434508532
C-12,11178.0,0.001,11178.0,1.484197,1.0,nucleus,11177.999994150574,5.849426088389009e-06,0.005849426088389009
C-13,12099.0,0.001,12099.0,1.50167,1.0,nucleus,12098.99999359408,6.405920430552214e-06,0.006405920430552214
N-14,13114.0,0.001,13114.0,1.51826,1.0,nucleus,13113.99999297997,7.020029443083331e-06,0.007020029443083331
N-15,14003.0,0.001,14003.0,1.533498,1.0,nucleus,14002.99999242885,7.571150490548462e-06,0.007571150490548462
O-16,14911.0,0.001,14911.0,1.54836,1.0,nucleus,14910.999991859777,8.140223144437186e-06,0.008140223144437186
O-17,15995.0,0.001,15995.0,1.562855,1.0,nucleus,15994.999991186254,8.813745807856321e-06,0.008813745807856321
O-18,17156.0,0.001,17156.0,1.577187,1.0,nucleus,17155.999990459815,9.540184692014009e-06,0.009540184692014009
F-19,18996.0,0.001,18996.0,1.591147,1.0,nucleus,18995.99998934312,1.0656880476744846e-05,0.010656880476744846
Ne-20,19992.0,0.001,19992.0,1.604995,1.0,nucleus,19991.999988686748,1.1313251889077947e-05,0.011313251889077947
Na-23,22994.0,0.001,22994.0,1.631042,1.0,nucleus,22993.99998677678,1.3223219866631553e-05,0.013223219866631553
Mg-24,23985.0,0.001,23985.0,1.64289,1.0,nucleus,23984.99998610669,1.3893310097046196e-05,0.013893310097046196
Al-27,26981.0,0.001,26981.0,1.669493,1.0,nucleus,26980.99998411818,1.5881818399066105e-05,0.015881818399066105
Si-28,27977.0,0.001,27977.0,1.680905,1.0,nucleus,27976.999983419337,1.6580663213972002e-05,0.016580663213972002
P-31,30973.0,0.001,30973.0,1.707363,1.0,nucleus,30972.999981354813,1.8645187083166093e-05,0.018645187083166093
S-32,31972.0,0.001,31972.0,1.718121,1.0,nucleus,31971.99998063216,1.9367838831385598e-05,0.019367838831385598
Cl-35,34969.0,0.001,34969.0,1.742997,1.0,nucleus,34968.99997850995,2.149005013052374e-05,0.02149005013052374
Ar-40,39962.0,0.001,39962.0,1.769801,1.0,nucleus,39961.99997506386,2.4936140107456595e-05,0.024936140107456595
Fe-56,55935.0,0.001,55935.0,1.824896,1.0,nucleus,55934.99996401021,3.5989789466839284e-05,0.035989789466839284
Co-59,58934.0,0.001,58934.0,1.840999,1.0,nucleus,58933.99996174598,3.8254016544669867e-05,0.03825401654466987
Ni-64,63929.0,0.001,63929.0,1.860344,1.0,nucleus,63928.99995806769,4.193231143290177e-05,0.04193231143290177
Zr-91,90924.0,0.001,90924.0,1.923538,1.0,nucleus,90923.99993833527,6.166473031044006e-05,0.061664730310440063
Sn-120,119904.0,0.001,119904.0,1.976898,1.0,nucleus,119903.99991642516,8.357483602594584e-05,0.08357483602594584
Sm-150,149920.0,0.001,149920.0,2.015196,1.0,nucleus,149919.9998934792,0.00010652080527506769,0.10652080527506769
Hf-180,179947.0,0.001,179947.0,2.048885,1.0,nucleus,179946.99987000707,0.0001299929281231016,0.1299929281231016
Hg-200,199968.0,0.001,199968.0,2.071589,1.0,nucleus,199967.9998539432,0.00014605678734369576,0.14605678734369576
Ra-220,219964.0,0.001,219964.0,2.092917,1.0,nucleus,219963.99983768407,0.0001623159332666546,0.1623159332666546
U-238,221026.0,0.001,221026.0,2.109517,1.0,nucleus,221025.99983560675,0.00016439324826933444,0.16439324826933444
